MachineID,Date,Failure,RepairType,DowntimeHours
M074,2025/03/09,Y,Minor,4
M028,05-04-2025,Y,,11
M022,2025-04-20,N,Major,10
M035,06-07-2025,Y,Minor,11
M071,2025-03-01,Y,,7
M038,2025-04-28,N,Minor,3
M079,2025-03-22,Y,Minor,2
M092,2025/07/16,Y,Minor,6
M073,2025-06-10,Y,Major,8
M085,2025-01-06,Y,Major,13
M069,2025-02-26,Y,Minor,8
M028,2025/07/13,N,,1
M008,21-02-2025,N,,2
M079,28-04-2025,N,,13
M098,2025/02/25,N,Major,15
M088,16-05-2025,Y,,14
M010,18-07-2025,Y,,6
M017,2025-01-04,N,,13
M028,2025-05-26,Y,Minor,6
M080,2025/06/01,Y,,15
M097,2025-04-24,Y,Major,2
M070,2025-05-05,Y,Minor,2
M080,2025-02-27,N,,6
M041,2025-01-04,Y,Minor,4
M066,16-03-2025,N,Major,9
M085,2025/04/21,N,,3
M069,2025/03/18,N,,2
M062,04-02-2025,Y,Minor,7
M068,2025/05/21,Y,,7
M050,16-07-2025,N,Minor,2
M048,29-04-2025,N,,6
M100,03-07-2025,Y,Minor,7
M034,2025-07-13,N,,6
M092,02-03-2025,Y,Major,8
M021,26-06-2025,N,,10
M053,2025-02-25,N,Minor,7
M035,2025/01/17,N,,15
M095,2025/05/26,N,Major,1
M077,23-04-2025,Y,,12
M008,2025-04-05,Y,,14
M093,2025-01-24,N,Minor,12
M041,2025-05-16,N,,10
M026,2025-01-04,N,Major,2
M052,22-06-2025,Y,Minor,5
M082,2025/02/03,N,Major,7
M089,23-05-2025,Y,,8
M001,2025-07-19,N,,8
M082,2025/02/03,N,Major,5
M057,2025/04/06,N,,8
M062,2025-06-13,Y,,3
M043,2025-01-09,Y,Major,9
M100,23-03-2025,Y,Minor,13
M100,15-07-2025,Y,,14
M069,28-06-2025,Y,Minor,12
M015,15-07-2025,Y,,8
M027,2025/05/20,N,,15
M097,2025/05/01,Y,Minor,7
M095,2025/05/30,N,Minor,1
M055,2025-03-12,Y,,9
M041,2025-06-05,N,Minor,8
M015,2025-02-13,Y,,13
M040,2025-01-09,N,,14
M050,2025-05-22,Y,,11
M059,21-05-2025,Y,,13
M047,2025-05-12,N,Major,3
M006,18-01-2025,Y,,4
M066,02-03-2025,N,Minor,14
M042,2025-06-10,N,Minor,4
M063,2025/03/17,Y,Minor,5
M063,2025/04/02,Y,Minor,3
M039,16-06-2025,N,,3
M028,2025/07/09,N,,13
M070,09-07-2025,Y,,12
M040,2025/06/16,Y,,14
M042,28-02-2025,Y,Minor,10
M072,16-04-2025,N,,10
M036,2025-04-21,Y,,1
M070,03-05-2025,Y,Major,14
M079,26-04-2025,Y,Major,1
M047,26-05-2025,Y,Minor,8
M068,17-06-2025,Y,Major,13
M076,2025/02/02,N,Minor,8
M043,2025/06/30,N,,7
M036,2025/06/29,N,,11
M020,2025-04-17,Y,Major,3
M086,20-01-2025,Y,,5
M078,2025/05/15,Y,Major,8
M012,2025/06/30,N,,2
M055,2025/04/05,N,,14
M071,2025-05-26,Y,Minor,12
M073,2025-01-11,Y,,7
M029,2025/05/21,Y,Minor,13
M077,2025/07/11,N,Minor,13
M042,2025-02-06,N,,9
M045,2025/06/25,Y,,11
M080,2025/06/13,Y,Minor,3
M098,2025-02-03,N,Minor,14
M082,2025-06-21,Y,Minor,2
M047,31-03-2025,N,Major,2
M075,11-07-2025,Y,,10
M095,2025-06-20,Y,Minor,3
M019,26-06-2025,Y,Major,2
M087,2025-07-05,Y,,12
M017,2025-02-09,Y,Major,15
M093,2025-07-04,N,,8
M056,2025-01-01,Y,Minor,7
M032,2025/05/28,Y,Major,7
M062,2025/06/24,N,Minor,9
M040,2025-04-24,Y,,12
M061,29-05-2025,N,Minor,10
M019,2025-03-25,Y,Major,5
M058,2025-06-26,Y,Major,13
M046,2025/02/20,Y,Minor,1
M027,2025-01-12,N,,1
M090,2025/01/26,Y,Minor,4
M031,2025/04/29,Y,Minor,15
M030,2025/03/16,Y,,14
M080,2025/06/05,N,Minor,7
M045,28-05-2025,N,,14
M100,2025-05-22,N,,4
M016,2025-07-11,N,Major,13
M013,2025-07-16,Y,,3
M060,03-04-2025,Y,,8
M028,2025-03-30,Y,,10
M002,2025-02-04,Y,Minor,6
M042,27-03-2025,N,Major,3
M080,2025-01-27,Y,Major,8
M048,2025/02/17,N,,9
M054,19-02-2025,Y,Minor,5
M012,2025-06-26,Y,Major,11
M042,28-03-2025,Y,Minor,5
M039,2025-04-05,N,Major,12
M022,2025/05/19,Y,Minor,8
M002,01-05-2025,Y,,12
M002,2025/03/16,Y,Major,6
M077,2025/01/27,N,Minor,14
M090,2025/04/05,N,Minor,15
M008,2025-03-22,Y,Major,4
M063,2025/05/03,Y,Major,4
M050,21-05-2025,N,Major,5
M036,2025/06/09,N,,4
M084,2025-01-15,Y,Minor,12
M067,04-06-2025,N,Major,12
M036,23-05-2025,N,,6
M088,2025/01/17,N,Major,6
M055,06-07-2025,Y,,4
M095,2025-02-03,Y,Minor,13
M098,2025-05-06,Y,,1
M100,2025/03/19,N,Major,10
M081,01-06-2025,N,Minor,8
M100,2025-03-01,Y,Major,15
M055,2025/03/03,Y,,8
M064,2025-03-16,N,,6
M083,2025/02/13,Y,,6
M039,2025/02/14,N,,4
M040,2025-07-16,Y,Major,2
M050,2025-01-17,N,,2
M020,2025-03-11,N,Minor,7
M060,2025/03/18,Y,,13
M048,21-02-2025,Y,,12
M097,2025/01/29,Y,,1
M062,2025/06/04,N,Major,9
M071,2025-03-18,N,,13
M069,2025-06-28,Y,,1
M091,06-02-2025,N,Major,1
M090,2025/04/22,Y,Minor,11
M031,26-06-2025,Y,,6
M066,2025/01/04,Y,,13
M066,2025-03-08,Y,Minor,13
M057,2025/05/31,N,,1
M015,03-05-2025,Y,Major,7
M001,2025/04/06,N,Minor,1
M083,29-06-2025,N,Major,4
M004,2025-03-06,N,,10
M081,2025-02-24,N,Minor,15
M037,19-06-2025,N,,8
M059,2025/01/10,N,Minor,15
M063,15-06-2025,N,,3
M097,2025/04/07,Y,,14
M049,2025/02/01,N,Minor,1
M047,09-03-2025,N,Major,7
M058,2025/05/01,Y,,6
M005,2025-06-15,N,,4
M048,24-03-2025,N,Minor,8
M004,2025-05-03,Y,,12
M097,2025/05/15,N,Minor,13
M059,2025/02/18,Y,Minor,9
M028,2025-05-11,Y,,7
M043,2025/04/10,Y,,3
M038,2025-01-17,Y,Minor,2
M003,13-04-2025,N,Minor,3
M096,2025-04-20,Y,,2
M008,12-02-2025,N,Minor,12
M027,2025-01-24,N,Major,4
M004,10-01-2025,N,Minor,1
M024,2025/01/06,N,Minor,9
M032,2025/05/05,N,Major,8
M043,2025/05/22,Y,Major,7
M088,2025/02/22,Y,,13
M033,13-03-2025,N,,10
M027,07-04-2025,N,,1
M082,2025-05-29,Y,Minor,10
M091,2025-06-10,N,Minor,1
M038,2025-07-14,N,Minor,3
M096,2025/05/31,N,,15
M022,09-07-2025,Y,,13
M081,2025/02/27,Y,,8
M096,03-07-2025,Y,,8
M080,2025/02/07,N,Major,7
M095,2025/05/03,N,,11
M014,2025/04/15,N,Minor,3
M099,13-07-2025,N,Minor,5
M059,04-04-2025,N,,3
M051,2025/03/21,N,,10
M029,2025-04-11,N,Minor,9
M039,2025-05-20,N,Major,15
M048,2025/01/06,Y,,13
M040,18-03-2025,Y,Minor,1
M066,28-05-2025,Y,,2
M072,14-05-2025,N,,4
M059,2025-03-02,N,Major,5
M033,14-02-2025,Y,Major,9
M077,17-07-2025,N,Major,15
M034,13-06-2025,N,Minor,1
M074,2025/05/02,Y,,1
M042,2025/07/17,Y,Minor,8
M043,2025-07-16,N,,9
M087,2025-01-01,Y,Minor,11
M004,2025/01/09,N,Major,7
M035,2025/07/04,N,Major,8
M070,2025-03-27,N,,8
M091,2025/03/13,Y,Minor,2
M023,2025-06-26,Y,Minor,1
M034,2025-03-09,N,,10
M032,2025-06-04,N,,14
M089,27-01-2025,N,,7
M091,2025-03-15,Y,Minor,14
M065,2025/03/22,N,Major,15
M037,09-07-2025,Y,Minor,3
M070,2025/05/12,Y,,1
M054,29-03-2025,N,Major,10
M055,09-04-2025,N,Minor,9
M031,2025-04-25,Y,,4
M067,2025/07/11,Y,,4
M073,2025/03/28,Y,Major,11
M042,2025/04/27,Y,Major,10
M098,2025/06/30,Y,,5
M035,08-02-2025,N,Minor,13
M029,2025/05/31,Y,Major,11
M100,2025/01/14,N,Minor,1
M041,2025/04/18,N,Minor,12
M093,2025/04/27,Y,,14
M045,2025-07-12,N,,15
M028,2025-02-24,N,Major,10
M084,2025/01/04,N,,5
M092,10-03-2025,Y,Minor,15
M009,2025-03-05,N,,12
M085,28-03-2025,Y,Major,15
M010,15-02-2025,N,Minor,15
M006,03-02-2025,N,,13
M025,2025/04/18,Y,,11
M070,20-06-2025,Y,,14
M020,07-01-2025,Y,Minor,7
M008,2025/06/20,N,Major,6
M054,2025/02/14,N,Major,12
M078,2025-06-16,N,,4
M037,2025-07-07,N,Major,5
M062,2025/06/21,Y,Major,9
M061,18-07-2025,Y,Minor,15
M064,2025/02/18,N,Minor,3
M018,2025/03/12,Y,Major,7
M084,2025-01-25,N,Minor,2
M077,02-03-2025,N,Minor,15
M019,01-03-2025,Y,,12
M037,05-01-2025,N,,6
M017,24-06-2025,N,Minor,14
M011,2025/04/27,N,Major,9
M036,2025/07/19,Y,Minor,2
M026,2025-06-21,Y,,12
M066,2025-01-25,Y,,8
M029,2025-06-21,Y,Major,7
M035,18-06-2025,N,Minor,13
M059,15-03-2025,N,Minor,12
M021,09-01-2025,Y,,11
M009,2025-07-18,N,Major,6
M067,2025-03-11,N,Minor,8
M013,2025/03/31,Y,Major,8
M074,17-01-2025,Y,Major,12
M098,2025-07-17,N,,5
M078,24-03-2025,N,,15
M071,2025/07/09,N,Minor,5
M091,2025-05-15,Y,Minor,8
M092,2025-03-20,N,,2
M099,11-06-2025,N,,14
M043,14-02-2025,Y,,5
M021,04-03-2025,Y,Major,4
M079,2025-01-29,Y,Major,12
M009,2025-06-28,N,,9
M020,2025/03/27,Y,Minor,3
M016,22-06-2025,N,Major,11
M087,2025-02-01,N,,9
M042,26-03-2025,N,Minor,14
M099,2025-04-06,Y,Minor,7
M073,2025-03-05,Y,,11
M070,2025-02-03,Y,Major,5
M011,2025-03-03,N,Major,9
M007,2025/06/12,Y,Major,5
M021,01-05-2025,Y,Major,3
M032,2025/02/09,N,Major,13
M001,2025-01-18,Y,Minor,11
M032,13-04-2025,N,Major,8
M092,2025-01-17,N,Major,4
M059,20-02-2025,N,,10
M030,2025/03/29,Y,,1
M074,2025-02-09,Y,Minor,10
M006,2025/05/11,Y,,1
M092,2025-02-18,Y,Major,5
M029,2025-02-24,Y,,7
M033,2025-02-06,Y,,12
M093,03-04-2025,Y,Minor,5
M034,06-07-2025,N,,12
M049,2025/05/08,Y,,13
M063,2025-04-30,Y,Minor,12
M023,2025-02-07,Y,Major,12
M050,2025-05-19,Y,Minor,10
M061,2025/07/01,N,Major,2
M047,2025/03/13,N,Minor,8
M064,2025-03-13,N,,10
M026,16-03-2025,Y,,11
M037,2025-06-05,N,Minor,10
M074,17-03-2025,N,,15
M096,09-01-2025,N,,1
M001,07-02-2025,N,,8
M059,2025-07-14,N,Minor,15
M038,2025-06-22,Y,,14
M023,2025/03/11,Y,Minor,11
M039,21-03-2025,Y,,9
M084,2025-05-24,N,Minor,5
M031,18-06-2025,N,Major,8
M033,2025/05/28,N,Minor,10
M009,2025/01/21,N,Major,2
M082,2025/04/19,Y,Minor,8
M041,2025/06/11,N,,9
M025,2025/03/31,Y,Minor,9
M025,2025-02-26,N,Minor,14
M040,2025/05/06,N,Major,7
M009,29-01-2025,Y,Minor,14
M026,03-01-2025,N,Major,10
M021,25-01-2025,N,,6
M094,21-01-2025,Y,Major,9
M018,18-07-2025,N,Major,7
M066,2025/03/06,Y,,12
M054,2025-02-10,Y,Minor,5
M027,2025/04/18,Y,Major,13
M030,14-07-2025,N,Major,1
M050,2025/03/05,Y,,15
M085,2025/03/03,N,Major,14
M055,2025/03/25,N,Major,8
M027,2025/06/28,N,,15
M081,2025/03/11,N,Major,5
M060,2025-03-23,Y,Minor,14
M078,24-04-2025,N,,11
M026,06-04-2025,Y,Major,13
M006,2025/03/20,Y,,10
M083,2025-05-04,N,,7
M027,05-03-2025,N,Major,2
M058,2025-05-14,N,Major,5
M058,28-05-2025,N,,14
M044,15-05-2025,N,,3
M088,2025/01/15,N,,15
M064,29-05-2025,N,Major,15
M057,2025/06/06,N,Major,2
M021,2025-06-02,N,Major,14
M084,2025-06-09,N,Major,8
M037,29-06-2025,Y,Major,1
M009,22-01-2025,Y,,10
M039,2025-03-30,Y,Minor,13
M039,2025/02/16,Y,Major,7
M002,2025/07/19,N,,5
M022,2025/05/26,Y,Major,1
M086,2025/06/21,Y,,7
M085,2025/05/01,Y,Major,5
M077,2025/06/02,Y,Minor,8
M025,2025-06-26,Y,,6
M090,24-02-2025,N,Major,3
M006,2025-04-17,Y,Major,12
M053,2025-04-29,Y,Minor,15
M064,2025/07/08,Y,,12
M081,2025/01/24,Y,Major,2
M026,2025-05-17,N,Minor,13
M049,12-07-2025,N,Minor,15
M067,2025-05-25,Y,,15
M030,06-02-2025,N,Minor,12
M041,29-06-2025,N,Minor,6
M023,30-03-2025,Y,Major,9
M087,2025-04-03,N,Minor,6
M008,2025-05-03,N,Minor,15
M014,2025-07-15,N,Major,12
M038,2025-02-27,N,Major,14
M051,2025/03/28,N,Minor,14
M054,2025/05/07,N,Minor,7
M015,08-04-2025,N,Minor,2
M053,2025-06-06,N,,15
M045,10-07-2025,Y,Major,3
M037,22-04-2025,N,Minor,8
M060,2025-04-12,N,,9
M013,2025-03-01,N,,4
M061,2025/06/11,N,Major,7
M012,19-03-2025,N,Major,12
M062,23-01-2025,Y,Major,4
M082,24-04-2025,Y,Minor,11
M065,2025/05/01,Y,Major,5
M055,2025-05-04,N,,3
M051,2025-06-30,Y,Minor,9
M058,14-07-2025,N,Minor,2
M002,2025/04/05,Y,Major,9
M097,2025/03/11,Y,,11
M082,16-02-2025,N,,5
M062,07-03-2025,Y,Minor,7
M032,2025-05-24,N,Major,1
M001,2025/04/02,N,Major,5
M076,08-02-2025,Y,,7
M058,2025-06-24,N,Major,12
M058,2025/05/10,Y,Minor,15
M082,2025/04/05,Y,Minor,9
M009,2025/05/23,Y,Major,9
M041,15-07-2025,Y,Major,3
M098,2025/06/24,N,,12
M082,2025-05-15,N,Minor,10
M011,2025-05-13,Y,Minor,5
M083,07-02-2025,N,Major,13
M035,2025/06/13,Y,Minor,13
M042,2025-05-28,N,Major,14
M058,2025/06/13,Y,Major,13
M087,14-02-2025,Y,Major,14
M009,2025-07-11,N,Major,3
M081,2025/03/28,Y,Major,12
M006,01-02-2025,Y,Minor,4
M072,2025/03/24,N,Major,2
M022,2025/01/15,N,Minor,9
M005,2025/03/05,N,Major,4
M094,2025-02-18,Y,,9
M004,2025/05/10,Y,Minor,13
M068,19-02-2025,N,Minor,6
M048,2025/05/28,Y,,15
M091,22-01-2025,N,Minor,9
M090,29-06-2025,Y,,8
M028,2025/06/02,N,,10
M081,2025-06-02,Y,,12
M018,2025/04/05,Y,Minor,11
M040,12-04-2025,Y,Major,7
M039,2025-02-11,N,Minor,2
M021,2025-05-31,Y,,14
M043,2025-04-06,N,Minor,1
M097,2025-02-12,N,Major,8
M059,13-06-2025,N,Minor,7
M060,2025-07-01,N,Major,9
M027,19-04-2025,Y,Major,14
M019,2025/03/15,Y,Major,10
M082,2025-01-11,N,Major,11
M066,2025/03/28,N,,15
M015,05-07-2025,N,Major,4
M050,03-03-2025,Y,Major,12
M065,2025-05-27,N,Major,7
M005,20-01-2025,Y,,5
M030,2025/01/15,Y,Minor,6
M075,04-03-2025,N,Major,1
M050,06-06-2025,Y,,15
M093,19-01-2025,N,Major,12
M072,2025/06/08,Y,Major,9
M094,24-03-2025,Y,,15
M096,2025/02/06,Y,Minor,15
M088,2025/04/28,N,Minor,1
M068,23-04-2025,N,Major,2
M084,2025-06-19,N,Minor,9
M034,15-02-2025,Y,,3
M013,04-01-2025,N,Major,9
M007,20-02-2025,N,,10
M042,2025-02-27,Y,Minor,14
M024,2025/02/08,N,Major,5
M084,2025/06/26,N,,1
M089,2025/07/03,Y,,4
M005,2025/02/18,Y,,8
M039,2025/03/19,N,,4
M049,05-07-2025,N,,13
M070,2025/05/12,Y,,1
M058,04-06-2025,Y,Minor,14
M033,2025/02/21,N,,6
M096,2025-06-04,Y,,3
M030,09-03-2025,N,Minor,13
M092,2025-03-19,Y,Minor,1
M100,27-06-2025,Y,,13
M042,31-01-2025,N,,4
M023,07-04-2025,N,Major,12
M037,2025-01-31,N,Minor,2
M023,2025/06/22,Y,,7
M081,2025/04/11,Y,Minor,14
M006,2025/04/11,N,Minor,7
M019,07-02-2025,Y,Minor,13
M055,2025-07-06,N,Minor,12
M029,2025/03/18,N,Major,14
M043,01-01-2025,Y,Minor,14
M066,07-05-2025,Y,,6
M014,2025/03/22,Y,Minor,13
M032,2025/07/11,Y,Major,13
M055,2025-02-13,N,Major,10
M085,2025/01/17,N,Minor,12
M092,2025-02-06,N,,13
M041,2025/06/20,N,,7
M010,15-07-2025,Y,Minor,14
M064,08-07-2025,N,Minor,7
M100,2025/01/01,Y,Major,13
M001,2025-03-27,Y,,10
M019,2025/03/01,N,,12
M063,2025-02-14,Y,,1
M095,2025/02/10,Y,Minor,13
M043,2025/04/15,Y,Major,14
M083,2025-05-28,Y,,6
M043,08-07-2025,N,Minor,4
M073,2025-04-18,N,,5
M047,18-02-2025,N,,15
M048,13-06-2025,N,Minor,8
M068,04-07-2025,N,,6
M074,2025-06-02,Y,Minor,6
M074,2025/04/22,N,Minor,8
M098,2025/02/07,Y,Minor,12
M100,2025/03/10,Y,Major,2
M039,2025-05-27,N,,9
M027,2025/04/07,Y,Major,10
M007,26-05-2025,N,Major,9
M043,2025-07-05,N,Major,5
M041,08-04-2025,N,Major,12
M076,2025/03/18,N,Minor,2
M056,2025-01-03,Y,Minor,10
M057,16-03-2025,Y,,9
M096,2025/02/16,Y,,8
M063,2025/05/28,N,,8
M023,2025/02/06,Y,Major,13
M054,2025/07/18,Y,,2
M061,23-02-2025,N,Major,11
M069,09-03-2025,N,Major,11
M031,2025/04/03,N,Major,3
M042,2025/01/03,Y,,10
M044,2025-07-02,N,,7
M092,2025/06/27,N,Major,12
M030,2025/03/01,N,Major,8
